RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;100;0;0;469422.5859;33267.1922;15616371388;61;0;N;254550.3252;0;10489.4572;4702.5151;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;B;0;0;2869161.5545;1346.9124;3864509275;634;0;N;116468.1764;0;2595.8122;1163.7252;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;C;0;0;15779003.3993;1386.8796;21883577923;183;1;N;509629.4541;0;14699.2192;6589.7881;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;CASH;0;0;271429.4987;30026.3502;8150037183;12815;1;N;252417.5003;0;5474.4293;2454.2343;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;G;0;0;2074712.2892;27648.86;57363429624;28735;1;N;2206926.7646;0;38531.6516;17274.0754;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;I;0;0;1378234.182;1058.3281;1458623963;2;0;N;15985.0976;0;979.747;439.2291;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;LP180;0;0;21028023.9677;1363.534;28672425633;1069;1;N;785533.642;0;19259.3726;8634.1447;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;PLAN4;0;0;1142094.672;1351.3635;1543385053;289;0;N;27485.4292;0;1036.6875;464.756;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;PLAN2;0;0;63261.17;1402.0346;88694349;30;0;N;1822.5241;0;59.5759;26.7084;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;PLAN1;0;0;39796.7318;1312.494;52232972;12;0;N;1216.4126;0;35.085;15.7289;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;LPI;0;0;4226044.3501;1094.9968;4627505040;14;0;N;69730.5665;0;3108.2737;1393.4662;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;LP3;0;0;2518705.7225;1386.8904;3493168787;279;0;N;79722.6301;0;2346.3635;1051.8952;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20211031;146883308291;$$;S;1;PLAN3;0;0;41659.6936;1333.8803;55569045;49;0;N;1065.7281;0;37.3256;16.7334;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20211031;167617967868;$$;S;0;V;0;0;8708188.7326;1170.6971;10194651493;2;2;N;212277;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20211031;167617967868;$$;S;0;M;0;0;558638.0776;37615.7368;21013582876;2421;0;N;959184;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20211031;167617967868;$$;S;0;L;0;0;6616404.1027;1444.1204;9554884390;923;0;N;497403;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20211031;167617967868;$$;S;0;IT;0;0;5487087.6797;4285.9371;23517312472;2;2;S;115010;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20211031;167617967868;$$;S;0;BPLUS;0;0;136352.2218;2038.101;277899603;1;0;N;4568;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20211031;167617967868;$$;S;0;BCH;0;0;93334483.0849;1080.2256;100822296907;2;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20211031;167617967868;$$;S;0;B;0;0;54224.6024;41158.3519;2231795266;305;0;N;61147;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20211031;926968214887;$$;S;0;IT;0;0;0;22296.7957;0;0;0;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20211031;926968214887;$$;S;0;A;0;0;13761897.2101;21430.8818;294929592926;14021;2;N;6133047;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20211031;926968214887;$$;S;0;B;0;0;4265769.7803;1788.3969;7628889450;1026;0;N;31352;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20211031;926968214887;$$;S;0;BCH;0;0;3463855.2027;1016.7948;3522029824;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20211031;926968214887;$$;S;0;BPLUS;0;0;1547698.6752;2025.3205;3134585871;8;0;N;12882;0;0;0;0;0;;
