RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;100;199.2124;0;115201.512;33192.7661;3823856842;57;0;N;62254.9657;0;2032.4124;652.6691;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;B;0;104128.4248;2574433.4102;1345.0341;3462700725;642;0;N;108579.512;0;1914.9224;614.9396;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;C;164434.6559;15446.1148;13535336.6905;1384.3667;18737869388;179;1;N;436869.4747;0;9970.7713;3201.9165;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;CASH;746.4013;810.7011;263112.6854;29985.9992;7889696774;12975;1;N;245030.1402;0;4206.4233;1350.8098;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;G;4127.5935;6003.0847;2189153.6009;27624.3373;60473917473;29510;1;N;2332975.6465;0;32231.255;10350.4316;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;I;0;0;1378234.182;1055.6162;1454886330;2;0;N;15944.1362;0;773.2803;248.3237;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;PLAN4;0;0;407092.8857;1348.4643;548950223;283;0;N;9775.9997;0;291.7722;93.6969;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;LP3;0;53927.3258;2385294.5076;1384.3383;3302054544;292;0;N;77064.7177;0;1794.7608;576.3521;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;LPI;0;0;3932164.1392;1092.4649;4295751303;12;0;N;64731.4651;0;2283.2255;733.2128;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;PLAN1;0;0;39747.1293;1310.1159;52073346;12;0;N;1212.6952;0;27.6777;8.8881;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;PLAN2;0;0;62538.7448;1399.2604;87507989;30;0;N;1798.1463;0;46.5115;14.9363;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;PLAN3;0;0;44624.0383;1331.1297;59400383;52;0;N;1139.2073;0;31.5719;10.1387;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20210831;132903625808;$$;S;1;LP180;650.116;58721.6622;20716970.5966;1361.4044;28204174925;1076;1;N;774895.2884;0;15033.4161;4827.6849;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210831;189528234523;$$;S;0;B;0;0;70562.7664;44022.8824;3106376367;324;0;N;85109;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210831;189528234523;$$;S;0;BCH;131341.9524;0;100065820.398;1153.4776;115423685731;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210831;189528234523;$$;S;0;BPLUS;0;0;347495.8264;2178.4915;757016710;2;0;N;12444;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210831;189528234523;$$;S;0;V;0;0;8659544.5592;1251.6731;10838918839;2;2;N;225692;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210831;189528234523;$$;S;0;L;166.768;23933.6564;7756858.6274;1546.953;11999495938;1039;0;N;626578;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210831;189528234523;$$;S;0;M;125.3771;1272.5417;661747.3962;40278.5172;26654203881;2584;0;N;1218765;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20210831;189528234523;$$;S;0;IT;0;0;4490170.8884;4577.9393;20555729724;2;2;S;100526;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210831;856124348668;$$;S;0;A;1198715.2787;860462.5996;12535765.7523;21411.4799;268409295929;14384;2;N;746554;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210831;856124348668;$$;S;0;B;150968.7756;560.0945;4209923.9277;1785.4132;7516453550;1013;0;N;30894;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210831;856124348668;$$;S;0;P;150500903.9681;144050197.2477;387363943.8164;1042.6137;403870946267;453;6;N;531291;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210831;856124348668;$$;S;0;BPLUS;0;0;575228.4437;2021.9409;1163077907;5;0;N;4780;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210831;856124348668;$$;S;0;IT;0;0;0;22296.7957;0;0;0;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20210831;856124348668;$$;S;0;BCH;148791.6786;0;6453948.1957;1014.8477;6549774607;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210831;111848203360;$$;S;0;B;0;0;580390.1465;2301.5017;1335768912;137;0;N;36597;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210831;111848203360;$$;S;0;BCH;454.9282;0;75931703.3896;1099.0747;83454614403;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210831;111848203360;$$;S;0;P1;0;0;169397.427;16840.6959;2852770555;1;0;N;46505;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210831;111848203360;$$;S;0;L;59.7102;260.601;794294.0034;16747.5627;13302488589;1128;0;N;692670;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210831;111848203360;$$;S;0;M;0;47697.7277;6785356.8012;1546.9373;10496521473;668;0;N;482491;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20210831;111848203360;$$;S;0;BPLUS;0;0;157171.9917;2078.1436;326625968;2;0;N;5369;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8029;20210831;29158568830;$$;S;0;INSTITUCIO;0;4891.8369;2027192.5101;1635.3775;3315225019;49;0;N;59182;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8029;20210831;29158568830;$$;S;0;K;0;0;0;1213.2053;0;0;0;N;0;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8029;20210831;29158568830;$$;S;0;LARGOPLAZO;0;0;45411.4099;1852.6229;84130218;35;0;N;1913;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8029;20210831;29158568830;$$;S;0;E;0;0;0;1000;0;0;0;N;0;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8029;20210831;29158568830;$$;S;0;APV;111.064;6504.7153;716903.6331;1800.7629;1290973465;128;0;N;16058;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8029;20210831;29158568830;$$;S;0;CLASICA;174.9744;1477.3322;1311686.1027;10572.9718;13868420174;1221;3;N;338505;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8029;20210831;29158568830;$$;S;0;LIQUIDEZ;15991.2409;0;6691819.7907;1575.8627;10545389203;780;1;N;412177;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8032;20210831;122949754724;$$;S;12350690272;APV;48489.7399;516.5605;7129856.419;2851.0326;20327453084;1225;0;N;553184;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8032;20210831;122949754724;$$;S;12350690272;CLASICA;395.7153;16251.4713;2762476.8429;16368.589;45217848063;2153;1;N;2965568;0;0;0;0;93210;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8032;20210831;122949754724;$$;S;12350690272;D;3248.6976;3596.7303;5930606.1194;1942.1654;11518218006;1;1;N;631207;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8032;20210831;122949754724;$$;S;12350690272;LIQUIDEZ;715964.9742;6119.1622;18050210.5075;1708.2061;30833479695;1395;2;N;2897453;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8032;20210831;122949754724;$$;S;12350690272;G;559.772;213.3584;2174499.6456;1864.4843;4054320450;1;1;N;111063;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8032;20210831;122949754724;$$;S;12350690272;INSTITUCIO;0;0;3796035.522;1792.3332;6803760494;30;1;N;333680;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8032;20210831;122949754724;$$;S;12350690272;LARGOPLAZO;52.258;0;1434407.8203;2391.9696;3431059900;238;0;N;201168;0;0;0;0;0;;
96514410;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;8032;20210831;122949754724;$$;S;12350690272;E;0;0;0;1000;0;0;0;N;0;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8036;20210831;487640592889;$$;S;0;APV;0;0;247.6947;51054.3625;12645895;10;0;N;151;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8036;20210831;487640592889;$$;S;0;FAMIL;0;0;0;10841.8;0;0;0;N;0;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8036;20210831;487640592889;$$;S;0;CLASI;6483655.5034;5592138.1974;5308204.0956;40828.5465;216726257284;6680;1;N;6233158;0;0;7767;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8036;20210831;487640592889;$$;S;0;BCI;3577349.8379;3577349.8379;445851.5707;10582.3329;4718149774;5;1;N;0;0;0;169;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8037;20210831;288635103030;$$;S;0;A;143042.1222;149889.2549;15479.7168;671857.2187;10400159468;1;0;N;190247;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8037;20210831;288635103030;$$;S;0;ALPAT;0;0;0;107184.923;0;0;0;N;0;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8037;20210831;288635103030;$$;S;0;APV;0;0;505.498;713894.0115;360871995;55;0;N;3745;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8037;20210831;288635103030;$$;S;0;I;0;0;383.3429;113288.4058;43428306;1;0;N;277;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8037;20210831;288635103030;$$;S;0;CLASI;47268.6299;42989.884;218667.698;676576.9365;147945521204;12752;3;N;2132649;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8037;20210831;288635103030;$$;S;0;FAMIL;0;0;0;111818.0614;0;0;0;N;0;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8037;20210831;288635103030;$$;S;0;GAMMA;0;0;127.8096;724925.6942;92652463;16;0;N;736;0;0;0;0;0;;
96530900;BCI ASSET MANAGEMENT ADMINISTRADORA  GENERAL DE FONDOS S.A.;8037;20210831;288635103030;$$;S;0;APVC;0;0;0;100000;0;0;0;N;0;0;0;0;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8038;20210831;29265985006;$$;S;1;A;0;0;131440.6636;7743.3896;1017796268;443;0;N;123572.6791;0;671.2312;4745.7415;0;0;;
