RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;LP3;0;46970.2771;7201690.2991;1381.1248;9946433074;411;0;N;228482.3963;0;2748.8207;1750.3505;0;102247;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;LPI;0;0;22086227.741;1086.4866;23996390485;29;0;N;361594.8282;0;6588.6776;4195.4339;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;PLAN4;0;2.8656;1756821.8681;1342.6148;2358735041;307;0;N;42005.688;0;647.6397;412.3937;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;PLAN1;0;0;222093.9445;1307.3177;290347345;14;0;N;6761.6708;0;79.7212;50.7636;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;PLAN2;0;0;81191.817;1394.7388;113241377;36;0;N;2326.9254;0;31.0928;19.7988;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;LP180;0;465285.163;63477301.4081;1360.7247;86375131915;1668;1;N;2383750.6285;0;23890.1109;15212.3667;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;PLAN3;0;0;144159.3533;1326.0959;191169127;58;0;N;3666.3276;0;52.4894;33.4234;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;G;0;4009.9143;2173777.192;27732.2212;60283669928;32607;1;N;2323554.6434;0;16582.9806;10559.4479;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;CASH;0;3940.3087;377725.9585;30013.6221;11336924176;13910;0;N;354808.7026;0;3145.2955;2002.8115;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;C;0;0;28025929.5763;1381.4103;38715307784;283;1;N;901610.3463;0;10630.1314;6768.8868;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;B;0;24244.6693;5201979.8639;1345.8274;7000967035;781;0;N;211977.7751;0;1931.2403;1229.7446;0;840;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;100;0;22.825;228526.9454;33027.9904;7547785759;50;1;N;123051.9978;0;2072.6015;1319.7584;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200531;261234641515;$$;S;1;I;0;0;11542744.2135;1047.9371;12096069897;4;1;N;132561.1348;0;3321.1985;2114.8202;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20200531;126955842254;$$;S;0;V;0;6456.1913;7053912.3598;1316.5657;9286939145;2;2;N;193553;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20200531;126955842254;$$;S;0;M;0;4.6105;791490.2804;42850.0801;33915421929;2986;0;N;1548110;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20200531;126955842254;$$;S;0;BPLUS;0;0;347495.8264;2286.8474;794669942;2;0;N;13063;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20200531;126955842254;$$;S;0;BCH;0;0;50101360.229;1201.788;60211213195;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20200531;126955842254;$$;S;0;B;0;0;104299.2938;46444.5829;4844137199;362;0;N;132720;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20200531;126955842254;$$;S;0;L;0;29329.624;10807276.6864;1650.5463;17837910395;1301;0;N;931117;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20200531;1495517704326;$$;S;0;P;0;167811796.1246;588961765.0435;1040.4911;612809456499;539;6;S;7701652;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20200531;1495517704326;$$;S;0;A;0;1313780.9149;13338838.5005;21387.9365;285290230875;14336;2;N;4018303;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20200531;1495517704326;$$;S;0;B;0;95928.3465;4899590.0857;1781.8219;8730196822;969;0;N;48774;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20200531;1495517704326;$$;S;0;BCH;0;0;3999252.0634;1012.7799;4050362078;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20200531;1495517704326;$$;S;0;BPLUS;0;126418.2207;1217133.1629;2017.8739;2456021244;7;0;N;14856;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8026;20200531;1495517704326;$$;S;0;IT;0;16062661.0353;989586.8542;22226.4293;21994981753;2;1;S;1246066;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20200531;107810092467;$$;S;0;P1;0;0;536239.2943;18066.7982;9688127127;3;1;N;157932;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20200531;107810092467;$$;S;0;B;0;0;647621.17;2481.6165;1607147366;153;0;N;44033;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20200531;107810092467;$$;S;0;BCH;0;0;53928986.5425;1170.3421;63115361659;1;1;N;0;0;0;0;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8028;20200531;107810092467;$$;S;0;BPLUS;0;0;159693.9246;2229.5847;356051131;2;0;N;5853;0;0;0;0;0;;
