RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;I;0;0;12496966.2905;1050.0073;13121905833;4;1;N;143803.3057;0;3004.3813;2744.4671;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;100;15.1035;10032.3504;196427.541;33079.9903;6497821151;46;0;N;112044.3441;0;1563.7266;1428.4459;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;CASH;255.7166;1121.0909;328673.7556;30041.0546;9873706238;13708;1;N;307358.8704;0;2268.3956;2072.1528;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;C;44646.9823;322463.4056;19030668.3468;1383.1088;26321484860;229;1;N;393055.9385;0;6128.6856;5598.4827;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;B;0;78167.5252;3967080.1383;1347.1024;5344063175;711;0;N;80087.3981;0;1247.6865;1139.747;0;840;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;LPI;0;459443.4138;13689745.215;1088.2733;14898184201;23;0;N;226371.0827;0;3525.5693;3220.5663;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;LP3;54102.739;0;3203652.9146;1382.8508;4430173996;356;0;N;65225.1122;0;1014.333;926.5813;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;LP180;58245.8426;545715.2167;34895442.8543;1362.1634;47533295083;1432;1;N;709526.2877;0;11053.4246;10097.1742;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;G;14141.354;5147.0952;2169118.7512;27749.244;60191405492;32398;1;N;886129.9042;0;13814.1301;12619.0464;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;PLAN1;0;0;206123.4332;1308.9249;269800094;15;0;N;3953.8792;0;61.7735;56.4293;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;PLAN2;0;0;86769.9016;1396.6218;121184736;37;0;N;1778.6103;0;27.7464;25.3461;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;PLAN3;0;0;509858.7238;1327.9696;677076886;54;0;N;9926.0296;0;155.0236;141.6122;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20200831;192958636082;$$;S;1;PLAN4;0;0;1020344.2715;1344.6048;1371959805;297;0;N;20147.0109;0;314.124;286.9486;0;0;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8023;20200831;140569284302;$$;S;0;V;0;0;7352208.3427;1348.035;9911034035;2;2;N;206371;0;0;0;0;0;;
